0|iata_code|1|name_eng|2|city_rus|3|country_rus
AAA|AAA|Anaa|Anaa|Анаа|Анаа|Французская Полинезия|Французская Полинезия
AAB|AAB|Arrabury|Arrabury|||Австралия|Австралия
AAC|AAC|Al Arish International Airport|Al Arish International Airport|Аль-Ариш|Аль-Ариш|Египет|Египет
AAD|AAD|Ad-Dabbah|Ad-Dabbah|||Судан|Судан
AAE|AAE|Les Salines|Les Salines|||Алжир|Алжир
AAF|AAF|Municipal|Municipal|||США|США
AAG|AAG|Arapoti|Arapoti|||Бразилия|Бразилия
AAH|AAH|Aachen/Merzbruck|Aachen/Merzbruck|Аахен|Аахен|Германия|Германия
AAI|AAI|Arraias|Arraias|||Бразилия|Бразилия
AAJ|AAJ|Cayana Airstrip|Cayana Airstrip|Аварадам|Аварадам|Суринам|Суринам
AAK|AAK|Aranuka|Aranuka|Аранука|Аранука|Кирибати|Кирибати
AAL|AAL|Aalborg|Aalborg|Аальбург|Аальбург|Дания|Дания
AAM|AAM|Mala Mala|Mala Mala|Мала-Мала|Мала-Мала|ЮАР|ЮАР
AAN|AAN|Al Ain|Al Ain|Аль-Айн|Аль-Айн|ОАЭ|ОАЭ
AAO|AAO|Anaco|Anaco|Анако|Анако|Венесуэла|Венесуэла
AAP|AAP|Andrau Airpark|Andrau Airpark|||США|США
AAQ|AAQ|Vityazevo|Vityazevo|Анапа|Анапа|Россия|Россия
AAR|AAR|Aarhus Airport|Aarhus Airport|Аарус|Аарус|Дания|Дания
AAS|AAS|Apalapsili|Apalapsili|||Индонезия|Индонезия
AAT|AAT|Altay|Altay|Алтай|Алтай|Китай|Китай
AAU|AAU|Asau|Asau|Асау|Асау|Самоа|Самоа
AAV|AAV|Allah Valley|Allah Valley|||Филиппины|Филиппины
AAW|AAW|Abbottabad|Abbottabad|||Пакистан|Пакистан
AAX|AAX|Araxa|Araxa|||Бразилия|Бразилия
AAY|AAY|Al Ghaydah|Al Ghaydah|Аль-Гайда|Аль-Гайда|Йемен|Йемен
AAZ|AAZ|Ambriz|Ambriz|||Ангола|Ангола
ABA|ABA|Abakan|Abakan|Абакан|Абакан|Россия|Россия
ABB|ABB|RAF Station|RAF Station|Абингдон|Абингдон|Великобритания|Великобритания
ABC|ABC|Los Llanos|Los Llanos|Албасет|Албасет|Испания|Испания
ABD|ABD|Abadan|Abadan|Абадан|Абадан|Иран|Иран
ABF|ABF|Abaiang|Abaiang|Абайянг|Абайянг|Кирибати|Кирибати
ABG|ABG|Abingdon|Abingdon|Абингдон|Абингдон|Австралия|Австралия
ABH|ABH|Alpha|Alpha|||Австралия|Австралия
ABI|ABI|Municipal|Municipal|||США|США
ABJ|ABJ|Felix Houphouet Boigny|Felix Houphouet Boigny|Абиджан|Абиджан|Кот д&#039;Ивуар|Кот д&#039;Ивуар
ABK|ABK|Kabri Dar|Kabri Dar|Кабри-Дар|Кабри-Дар|Эфиопия|Эфиопия
ABL|ABL|Ambler|Ambler|||США|США
ABM|ABM|Bamaga Injinoo|Bamaga Injinoo|||Австралия|Австралия
ABN|ABN|Albina|Albina|Альбина|Альбина|Суринам|Суринам
ABO|ABO|Aboisso|Aboisso|||Кот д&#039;Ивуар|Кот д&#039;Ивуар
ABP|ABP|Atkamba|Atkamba|Аткамба|Аткамба|Папуа - Новая Гвинея|Папуа - Новая Гвинея
ABQ|ABQ|Albuquerque International|Albuquerque International|Альбукерк|Альбукерк|США|США
ABR|ABR|Municipal|Municipal|||США|США
ABS|ABS|Abu Simbel|Abu Simbel|Абу-Симбель|Абу-Симбель|Египет|Египет
ABT|ABT|Al-Aqiq|Al-Aqiq|||Саудовская Аравия|Саудовская Аравия
ABU|ABU|Atambua|Atambua|||Индонезия|Индонезия
ABV|ABV|Nnamdi Azikiwe International Airport|Nnamdi Azikiwe International Airport|Абуджа|Абуджа|Нигерия|Нигерия
ABW|ABW|Abau|Abau|Абау|Абау|Папуа - Новая Гвинея|Папуа - Новая Гвинея
ABX|ABX|Albury|Albury|Элбери|Элбери|Австралия|Австралия
ABY|ABY|Dougherty County|Dougherty County|Олбани|Олбани|США|США
ABZ|ABZ|Dyce|Dyce|||Великобритания|Великобритания
ACB|ACB|Antrim County|Antrim County|||США|США
ACC|ACC|Kotoka|Kotoka|||Гана|Гана
ACD|ACD|Acandi|Acandi|Аканди|Аканди|Колумбия|Колумбия
ACE|ACE|Lanzarote|Lanzarote|Арресиф|Арресиф|Испания|Испания
ACH|ACH|Altenrhein|Altenrhein|||Швейцария|Швейцария
ACI|ACI|The Blaye|The Blaye|Элдерни|Элдерни|Великобритания|Великобритания
ACJ|ACJ|Anuradhapura|Anuradhapura|Анурадхапура|Анурадхапура|Шри-Ланка|Шри-Ланка
ACK|ACK|Nantucket Memorial|Nantucket Memorial|||США|США
